Date,Std Week,Rain,Evap,Max Temp,Min Temp,Wind Velocity,Solar Radiation,Bright Sunshine
1/1/2018,1,0,3.3,29.8,10.4,2.4,16.2,9.3
1/2/2018,1,0,4,29.6,11.4,2.1,15.8,9
1/3/2018,1,0,3.6,29.2,13.4,3.2,12.7,8.4
1/4/2018,1,0,3.5,28.6,10.8,3.4,13.9,6
1/5/2018,1,0,4.6,28.2,9.6,4.4,14.1,7.3
1/6/2018,1,0,3.7,28.8,9,3.1,14.4,8
1/7/2018,1,0,4.1,28,10.2,3.6,14.5,8.3
1/8/2018,2,0,4.1,29,10,4,14.2,7.7
1/9/2018,2,0,4.3,26.8,10.4,5.6,14.4,7.5
1/10/2018,2,0,3.6,26.2,11.6,4.5,13.2,4.2
1/11/2018,2,0,4.8,29,11.8,4.1,14.6,7.7
1/12/2018,2,0,3.8,31.4,12.6,2.1,14.3,9.1
1/13/2018,2,0,4.7,31.6,12.8,2.6,15,8.6
1/14/2018,2,0,5.2,31.4,11.8,4.1,15,9.1
1/15/2018,3,0,5,31.4,14.4,3.5,14.5,8.1
1/16/2018,3,0,4.7,31.4,15.4,2.6,14,5.6
1/17/2018,3,0,5.6,30.8,12.8,4,15.8,8.3
1/18/2018,3,0,4.8,30.6,11.8,3.4,15.7,8.6
1/19/2018,3,0,4.6,30,10.4,2.6,15.8,8.8
1/20/2018,3,0,4.7,29.6,8.2,2.1,16.9,9.2
1/21/2018,3,0,4.3,29.2,8.6,2.4,17,9.3
1/22/2018,4,0,4.6,28.8,9.8,3.9,16.7,9.3
1/23/2018,4,0,4.1,28.2,13.6,4.7,16.1,9
1/24/2018,4,0,4.8,29.8,12.6,4.3,16.1,9.4
1/25/2018,4,0,4,28.4,10.8,4.1,15.1,6.9
1/26/2018,4,0,4.5,29.4,9.2,2.9,16.2,8.9
1/27/2018,4,0,4.4,30,10,2.6,16.6,8.8
1/28/2018,4,0,4.2,29.8,11.6,3.2,15.9,7.9
1/29/2018,5,0,4.6,30.2,12.4,4.6,16.2,8.4
1/30/2018,5,0,5.2,29.2,9.4,4.2,17.1,8.6
1/31/2018,5,0,6,29.6,7.2,3.4,18.4,9.5
