Year,Month,Day,Rain,Evap,MaxTemp,MinTemp,WindVelocity,Solar_Radiation,Bright_Sunshine,Rel_Humidity,PM2.5
2018,1,1,0,3.3,29.8,10.4,2.4,16.2,9.3,89,56.22
2018,1,2,0,4,29.6,11.4,2.1,15.8,9,89,63.57
2018,1,3,0,3.6,29.2,13.4,3.2,12.7,8.4,88,72.61
2018,1,4,0,3.5,28.6,10.8,3.4,13.9,6,89,68.25
2018,1,5,0,4.6,28.2,9.6,4.4,14.1,7.3,88,70.88
2018,1,6,0,3.7,28.8,9,3.1,14.4,8,86,71.56
2018,1,7,0,4.1,28,10.2,3.6,14.5,8.3,85,68.19
2018,1,8,0,4.1,29,10,4,14.2,7.7,86,68.46
2018,1,9,0,4.3,26.8,10.4,5.6,14.4,7.5,84,77.07
2018,1,10,0,3.6,26.2,11.6,4.5,13.2,4.2,89,71.34
2018,1,11,0,4.8,29,11.8,4.1,14.6,7.7,85,74.55
2018,1,12,0,3.8,31.4,12.6,2.1,14.3,9.1,89,68.16
2018,1,13,0,4.7,31.6,12.8,2.6,15,8.6,85,68.86
2018,1,14,0,5.2,31.4,11.8,4.1,15,9.1,85,69.19
2018,1,15,0,5,31.4,14.4,3.5,14.5,8.1,90,61.72
2018,1,16,0,4.7,31.4,15.4,2.6,14,5.6,90,57.2
2018,1,17,0,5.6,30.8,12.8,4,15.8,8.3,89,59.34
2018,1,18,0,4.8,30.6,11.8,3.4,15.7,8.6,89,64.03
2018,1,19,0,4.6,30,10.4,2.6,15.8,8.8,86,58.97
2018,1,20,0,4.7,29.6,8.2,2.1,16.9,9.2,88,63.03
2018,1,21,0,4.3,29.2,8.6,2.4,17,9.3,86,65.58
2018,1,22,0,4.6,28.8,9.8,3.9,16.7,9.3,88,70.73
2018,1,23,0,4.1,28.2,13.6,4.7,16.1,9,82,53.03
2018,1,24,0,4.8,29.8,12.6,4.3,16.1,9.4,89,59.88
2018,1,25,0,4,28.4,10.8,4.1,15.1,6.9,87,62.69
2018,1,26,0,4.5,29.4,9.2,2.9,16.2,8.9,88,64.71
2018,1,27,0,4.4,30,10,2.6,16.6,8.8,84,67.15
2018,1,28,0,4.2,29.8,11.6,3.2,15.9,7.9,89,67.77
2018,1,29,0,4.6,30.2,12.4,4.6,16.2,8.4,87,62.8
2018,1,30,0,5.2,29.2,9.4,4.2,17.1,8.6,88,56.61
2018,1,31,0,6,29.6,7.2,3.4,18.4,9.5,80,51.18
2018,2,1,0,6.7,31,8.2,3.8,18.9,9.9,79,42.73
2018,2,2,0,6,31.2,9.2,3.4,19.1,10.2,88,40.27
2018,2,3,0,6.3,31.4,10.4,4.8,19.6,10.1,72,38.08
2018,2,4,0,6.9,31,10.4,6.4,18.7,9.9,70,33.61
2018,2,5,0,7.3,30.6,10.8,6.8,18.7,9.9,82,35.42
2018,2,6,0,6.8,29.8,9.8,7,18.5,8.8,86,53.83
2018,2,7,0,6.4,30.2,12.6,6.4,18.5,8.7,79,48.66
2018,2,8,0,2.9,28.8,15,2.3,8.3,0.6,80,35.01
2018,2,9,0,5.1,31.6,14.4,2.9,18.5,9.2,77,38.14
2018,2,10,0,5.8,30.2,13.6,4.2,14,5.4,80,43.34
2018,2,11,0,3.7,29.6,18.6,6.8,9.4,1.4,57,36.32
2018,2,12,0,8,31,18.6,13.6,15.3,5.4,82,43.38
2018,2,13,0,7.2,31,16.8,11,16.8,7.3,82,43.95
2018,2,14,0,6.4,29.6,17.4,8.5,16.9,5.4,82,47.26
2018,2,15,0,6.8,29.4,14.8,7.3,19.1,9.1,71,47.48
2018,2,16,0,5.4,30.8,13.6,3.9,17.3,7.7,78,50.55
2018,2,17,0,6.7,31,12.4,4,19.9,9.6,73,44.84
2018,2,18,0,6.4,32.2,13.4,3.2,21.1,10.5,74,50.92
2018,2,19,0,6.6,33.2,15.8,4.5,19.2,9.7,69,40.22
2018,2,20,0,6.8,32.4,17.4,6.7,17.2,8.2,70,43.08
2018,2,21,0,7.4,33.2,16.2,5.8,18.4,8.6,76,49.43
2018,2,22,0,7.2,32.4,16.4,5.9,17.9,8.1,73,54.99
2018,2,23,0,6,33,15.8,4.4,17,5.7,76,49.83
2018,2,24,0,9,33.2,20,8.2,19.4,9.1,34,36.41
2018,2,25,0,9.5,32.2,12.6,7.5,20.9,10.1,79,36.77
2018,2,26,0,9.1,32.6,11.8,7,22.1,10.3,67,47.45
2018,2,27,0,7.8,34,13.8,5.3,20.7,10,62,52.58
2018,2,28,0,8.8,34.6,15.4,6,20.1,9.4,67,60.18
2018,3,1,0,7.9,35.2,14.4,4.7,19.6,8.8,64,50.19
